Timee,latitude,longitude,pr
1/1/2019,51.24646605,-1.283566025,7.29431
1/1/2019,51.23804938,-0.424098976,7.294293
1/1/2019,51.22332786,0.434797775,5.697094
1/1/2019,51.78597226,-1.275051339,7.29431
1/1/2019,51.7773924,-0.40537731,7.2943063
1/1/2019,51.76238558,0.463702516,6.997446
1/1/2019,52.32542784,-1.266266174,7.192843
1/1/2019,52.31668086,-0.38606121,7.195209
1/1/2019,52.30138189,0.493524253,6.997438
1/1/2019,52.86483297,-1.257199,6.9647126
1/1/2019,52.85591478,-0.366125358,6.9754953
1/1/2019,52.84031651,0.524301988,7.147486
1/2/2019,51.24646605,-1.283566025,7.02453
1/2/2019,51.23804938,-0.424098976,7.024521
1/2/2019,51.22332786,0.434797775,6.2606516
1/2/2019,51.78597226,-1.275051339,7.02453
1/2/2019,51.7773924,-0.40537731,7.0245266
1/2/2019,51.76238558,0.463702516,6.882552
1/2/2019,52.32542784,-1.266266174,5.839054
1/2/2019,52.31668086,-0.38606121,5.866715
1/2/2019,52.30138189,0.493524253,5.8185873
1/2/2019,52.86483297,-1.257199,3.1736841
1/2/2019,52.85591478,-0.366125358,3.2996845
1/2/2019,52.84031651,0.524301988,5.309145
1/3/2019,51.24646605,-1.283566025,4.0700603
1/3/2019,51.23804938,-0.424098976,4.0700674
1/3/2019,51.22332786,0.434797775,4.7903643
1/3/2019,51.78597226,-1.275051339,4.0700603
1/3/2019,51.7773924,-0.40537731,4.0700617
1/3/2019,51.76238558,0.463702516,4.2039385
1/3/2019,52.32542784,-1.266266174,4.713238
1/3/2019,52.31668086,-0.38606121,4.6982303
1/3/2019,52.30138189,0.493524253,4.7630086
1/3/2019,52.86483297,-1.257199,6.159329
1/3/2019,52.85591478,-0.366125358,6.090967
1/3/2019,52.84031651,0.524301988,5.0007386
1/4/2019,51.24646605,-1.283566025,2.4761505
1/4/2019,51.23804938,-0.424098976,2.4761474
1/4/2019,51.22332786,0.434797775,2.249022
1/4/2019,51.78597226,-1.275051339,2.4761505
1/4/2019,51.7773924,-0.40537731,2.4761493
1/4/2019,51.76238558,0.463702516,2.4339352
1/4/2019,52.32542784,-1.266266174,2.2842133
1/4/2019,52.31668086,-0.38606121,2.288691
1/4/2019,52.30138189,0.493524253,2.2678208
1/4/2019,52.86483297,-1.257199,1.8526706
1/4/2019,52.85591478,-0.366125358,1.8730707
1/4/2019,52.84031651,0.524301988,2.1984167
1/5/2019,51.24646605,-1.283566025,5.0481353
1/5/2019,51.23804938,-0.424098976,5.048131
1/5/2019,51.22332786,0.434797775,4.620569
1/5/2019,51.78597226,-1.275051339,5.0481353
1/5/2019,51.7773924,-0.40537731,5.0481343
1/5/2019,51.76238558,0.463702516,4.9686675
1/5/2019,52.32542784,-1.266266174,4.943617
1/5/2019,52.31668086,-0.38606121,4.946055
1/5/2019,52.30138189,0.493524253,4.896274
1/5/2019,52.86483297,-1.257199,4.7086225
1/5/2019,52.85591478,-0.366125358,4.719731
1/5/2019,52.84031651,0.524301988,4.896897
1/6/2019,51.24646605,-1.283566025,2.9656088
1/6/2019,51.23804938,-0.424098976,2.965613
1/6/2019,51.22332786,0.434797775,3.4445128
1/6/2019,51.78597226,-1.275051339,2.9656088
1/6/2019,51.7773924,-0.40537731,2.9656096
1/6/2019,51.76238558,0.463702516,3.0546193
1/6/2019,52.32542784,-1.266266174,2.5632927
1/6/2019,52.31668086,-0.38606121,2.5726807
1/6/2019,52.30138189,0.493524253,2.6496623
1/6/2019,52.86483297,-1.257199,1.6587431
1/6/2019,52.85591478,-0.366125358,1.7015043
1/6/2019,52.84031651,0.524301988,2.3834577
1/7/2019,51.24646605,-1.283566025,3.7753062
1/7/2019,51.23804938,-0.424098976,3.7752995
1/7/2019,51.22332786,0.434797775,3.2674358
1/7/2019,51.78597226,-1.275051339,3.7753062
1/7/2019,51.7773924,-0.40537731,3.7753034
1/7/2019,51.76238558,0.463702516,3.6809108
1/7/2019,52.32542784,-1.266266174,3.733402
1/7/2019,52.31668086,-0.38606121,3.7343776
1/7/2019,52.30138189,0.493524253,3.6718864
1/7/2019,52.86483297,-1.257199,3.6391857
1/7/2019,52.85591478,-0.366125358,3.643639
1/7/2019,52.84031651,0.524301988,3.7146692
1/8/2019,51.24646605,-1.283566025,5.5688324
1/8/2019,51.23804938,-0.424098976,5.568835
1/8/2019,51.22332786,0.434797775,5.8551755
1/8/2019,51.78597226,-1.275051339,5.5688324
1/8/2019,51.7773924,-0.40537731,5.568833
1/8/2019,51.76238558,0.463702516,5.6220536
1/8/2019,52.32542784,-1.266266174,5.43771
1/8/2019,52.31668086,-0.38606121,5.4407697
1/8/2019,52.30138189,0.493524253,5.4823265
1/8/2019,52.86483297,-1.257199,5.1428976
1/8/2019,52.85591478,-0.366125358,5.156834
1/8/2019,52.84031651,0.524301988,5.379098
1/9/2019,51.24646605,-1.283566025,4.618028
1/9/2019,51.23804938,-0.424098976,4.6180334
1/9/2019,51.22332786,0.434797775,5.1176524
1/9/2019,51.78597226,-1.275051339,4.618028
1/9/2019,51.7773924,-0.40537731,4.6180296
1/9/2019,51.76238558,0.463702516,4.710891
1/9/2019,52.32542784,-1.266266174,4.285196
1/9/2019,52.31668086,-0.38606121,4.292963
1/9/2019,52.30138189,0.493524253,4.3697248
1/9/2019,52.86483297,-1.257199,3.536869
1/9/2019,52.85591478,-0.366125358,3.5722454
1/9/2019,52.84031651,0.524301988,4.1364202
1/10/2019,51.24646605,-1.283566025,9.879581
1/10/2019,51.23804938,-0.424098976,9.879567
1/10/2019,51.22332786,0.434797775,8.8550005
1/10/2019,51.78597226,-1.275051339,9.879581
1/10/2019,51.7773924,-0.40537731,9.879577
1/10/2019,51.76238558,0.463702516,9.689147
1/10/2019,52.32542784,-1.266266174,10.370803
1/10/2019,52.31668086,-0.38606121,10.359336
1/10/2019,52.30138189,0.493524253,10.209739
1/10/2019,52.86483297,-1.257199,11.475242
1/10/2019,52.85591478,-0.366125358,11.423029
1/10/2019,52.84031651,0.524301988,10.590375
1/11/2019,51.24646605,-1.283566025,4.7426157
1/11/2019,51.23804938,-0.424098976,4.7426157
1/11/2019,51.22332786,0.434797775,4.409787
1/11/2019,51.78597226,-1.275051339,4.7426157
1/11/2019,51.7773924,-0.40537731,4.7426186
1/11/2019,51.76238558,0.463702516,4.680758
1/11/2019,52.32542784,-1.266266174,3.797033
1/11/2019,52.31668086,-0.38606121,3.8190992
1/11/2019,52.30138189,0.493524253,3.8156614
1/11/2019,52.86483297,-1.257199,1.671025
1/11/2019,52.85591478,-0.366125358,1.7715291
1/11/2019,52.84031651,0.524301988,3.3743584
1/12/2019,51.24646605,-1.283566025,0.12734857
1/12/2019,51.23804938,-0.424098976,0.12734795
1/12/2019,51.22332786,0.434797775,0.17236878
1/12/2019,51.78597226,-1.275051339,0.12734848
1/12/2019,51.7773924,-0.40537731,0.12734759
1/12/2019,51.76238558,0.463702516,0.13571532
1/12/2019,52.32542784,-1.266266174,0.22997898
1/12/2019,52.31668086,-0.38606121,0.22758348
1/12/2019,52.30138189,0.493524253,0.22908135
1/12/2019,52.86483297,-1.257199,0.46072906
1/12/2019,52.85591478,-0.366125358,0.44982043
1/12/2019,52.84031651,0.524301988,0.2758543
1/13/2019,51.24646605,-1.283566025,9.131169
